0,1,2,3
"Test I: f1= 11 Hz,","f2=19.9,","fs-35.5,",f4= 63.9
"Test 2: f1 = 13.4 Hz,","f2=24,","fs= 43.4,",f4= 77.8
"Test 3: f1 = 16.3Hz,","f2=29.2,","fs-52.5,",f4=94.9
